n,k,alpha,metric,rule,win_share,mean_regret
5,10,10.0,coord_avg,Discrete metric,1.0,0.0
5,10,10.0,coord_avg,Quadratic distance,0.0,0.039042552380949995
5,10,10.0,coord_avg,Manhattan distance,0.0,0.023245861909570308
5,10,10.0,coord_max,Discrete metric,0.937,0.0030519295332962163
5,10,10.0,coord_max,Quadratic distance,0.0012,0.07512612000948238
5,10,10.0,coord_max,Manhattan distance,0.0618,0.04362049792378684
5,10,10.0,mean_linear,Discrete metric,0.9992,6.728696383412869e-06
5,10,10.0,mean_linear,Quadratic distance,0.0002,0.07536655938421323
5,10,10.0,mean_linear,Manhattan distance,0.0006,0.04680086290852664
5,10,10.0,mean_skewed,Discrete metric,0.4908,0.0003434006462586506
5,10,10.0,mean_skewed,Quadratic distance,0.0002,0.03912606731292865
5,10,10.0,mean_skewed,Manhattan distance,0.509,0.023381529880697898
10,2,0.1,coord_avg,Discrete metric,0.218,0.03161763490471889
10,2,0.1,coord_avg,Quadratic distance,0.76,0.002708543995627978
10,2,0.1,coord_avg,Manhattan distance,0.022,0.014015281433546996
10,2,0.1,coord_max,Discrete metric,0.218,0.03161763490471889
10,2,0.1,coord_max,Quadratic distance,0.76,0.002708543995627982
10,2,0.1,coord_max,Manhattan distance,0.022,0.014015281433547
10,2,0.1,mean_linear,Discrete metric,0.218,0.03161763490471888
10,2,0.1,mean_linear,Quadratic distance,0.76,0.0027085439956279767
10,2,0.1,mean_linear,Manhattan distance,0.022,0.014015281433548216
10,2,0.1,mean_skewed,Discrete metric,0.218,0.03161763490471888
10,2,0.1,mean_skewed,Quadratic distance,0.76,0.0027085439956279767
10,2,0.1,mean_skewed,Manhattan distance,0.022,0.014015281433548216
10,2,0.3,coord_avg,Discrete metric,0.5112,0.01925999546906155
10,2,0.3,coord_avg,Quadratic distance,0.4454,0.006080904559969933
10,2,0.3,coord_avg,Manhattan distance,0.0434,0.010208974253493904
10,2,0.3,coord_max,Discrete metric,0.5112,0.01925999546906155
10,2,0.3,coord_max,Quadratic distance,0.4454,0.006080904559969935
10,2,0.3,coord_max,Manhattan distance,0.0434,0.01020897425349392
10,2,0.3,mean_linear,Discrete metric,0.5112,0.019259995469061545
10,2,0.3,mean_linear,Quadratic distance,0.4454,0.0060809045599699305
10,2,0.3,mean_linear,Manhattan distance,0.0434,0.01020897425349661
10,2,0.3,mean_skewed,Discrete metric,0.5112,0.019259995469061545
10,2,0.3,mean_skewed,Quadratic distance,0.4454,0.0060809045599699305
10,2,0.3,mean_skewed,Manhattan distance,0.0434,0.01020897425349661
10,2,1.0,coord_avg,Discrete metric,0.8654,0.0049294853486150465
10,2,1.0,coord_avg,Quadratic distance,0.1006,0.008990394439523592
10,2,1.0,coord_avg,Manhattan distance,0.034,0.006315973105601076
10,2,1.0,coord_max,Discrete metric,0.8654,0.0049294853486150465
10,2,1.0,coord_max,Quadratic distance,0.1006,0.008990394439523593
10,2,1.0,coord_max,Manhattan distance,0.034,0.006315973105601126
10,2,1.0,mean_linear,Discrete metric,0.8654,0.004929485348615044
10,2,1.0,mean_linear,Quadratic distance,0.1006,0.008990394439523592
10,2,1.0,mean_linear,Manhattan distance,0.034,0.006315973105604445
10,2,1.0,mean_skewed,Discrete metric,0.8654,0.004929485348615044
10,2,1.0,mean_skewed,Quadratic distance,0.1006,0.008990394439523592
10,2,1.0,mean_skewed,Manhattan distance,0.034,0.006315973105604445
10,2,3.0,coord_avg,Discrete metric,0.9952,0.00015224941435933582
10,2,3.0,coord_avg,Quadratic distance,0.0022,0.009133158505267759
10,2,3.0,coord_avg,Manhattan distance,0.0026,0.005559492341528298
10,2,3.0,coord_max,Discrete metric,0.9952,0.00015224941435933574
10,2,3.0,coord_max,Quadratic distance,0.0022,0.00913315850526776
10,2,3.0,coord_max,Manhattan distance,0.0026,0.005559492341528375
10,2,3.0,mean_linear,Discrete metric,0.9952,0.00015224941435933533
10,2,3.0,mean_linear,Quadratic distance,0.0022,0.009133158505267759
10,2,3.0,mean_linear,Manhattan distance,0.0026,0.005559492341529592
10,2,3.0,mean_skewed,Discrete metric,0.9952,0.00015224941435933533
10,2,3.0,mean_skewed,Quadratic distance,0.0022,0.009133158505267759
10,2,3.0,mean_skewed,Manhattan distance,0.0026,0.005559492341529592
10,2,10.0,coord_avg,Discrete metric,1.0,0.0
10,2,10.0,coord_avg,Quadratic distance,0.0,0.009090909090908412
10,2,10.0,coord_avg,Manhattan distance,0.0,0.005671053322915669
10,2,10.0,coord_max,Discrete metric,1.0,0.0
10,2,10.0,coord_max,Quadratic distance,0.0,0.00909090909090842
10,2,10.0,coord_max,Manhattan distance,0.0,0.005671053322915713
10,2,10.0,mean_linear,Discrete metric,1.0,0.0
10,2,10.0,mean_linear,Quadratic distance,0.0,0.009090909090908426
10,2,10.0,mean_linear,Manhattan distance,0.0,0.005671053322915962
10,2,10.0,mean_skewed,Discrete metric,1.0,0.0
10,2,10.0,mean_skewed,Quadratic distance,0.0,0.009090909090908426
10,2,10.0,mean_skewed,Manhattan distance,0.0,0.005671053322915962
10,3,0.1,coord_avg,Discrete metric,0.0402,0.041500521936128354
10,3,0.1,coord_avg,Quadratic distance,0.9116,0.0018922391078456734
10,3,0.1,coord_avg,Manhattan distance,0.0482,0.013678581443322414
10,3,0.1,coord_max,Discrete metric,0.0104,0.07186009713110958
10,3,0.1,coord_max,Quadratic distance,0.9356,0.001121612282622283
