n,k,alpha,rule,draws,avg_coord_width_mean,avg_coord_width_median,max_coord_width_mean,max_coord_width_median,mean_linear_width_mean,mean_linear_width_median,mean_skewed_width_mean,mean_skewed_width_median,tie_rate,payment_probability_mean,payment_probability_median
5,3,0.1,Manhattan distance,5000,0.16345032757179778,0.14586228422045364,0.19563971931276528,0.17868797925360913,0.1441906497226316,0.13400968935371738,0.16275084554248134,0.14410736536055746,0.0,nan,nan
5,3,0.1,Quadratic distance,5000,0.1425688888888889,0.1111111111111111,0.16763999999999998,0.1333333333333333,0.12301999999999998,0.10000000000000003,0.1418533333333334,0.13333333333333333,0.0,nan,nan
5,3,0.3,Discrete metric,5000,0.20634920634920637,0.20634920634920637,0.26555238095238093,0.261904761904762,0.1893571428571429,0.19047619047619047,0.2053857142857143,0.19047619047619047,0.0,0.4822915637820981,0.38338896998169947
5,3,0.3,Manhattan distance,5000,0.1854204118800166,0.20163896715457583,0.21549425046060183,0.2345994140192178,0.15834569650572555,0.1656188143610281,0.18477201708569216,0.17867907159933272,0.0,nan,nan
5,3,0.3,Quadratic distance,5000,0.17980000000000002,0.20000000000000004,0.2053666666666667,0.2333333333333334,0.14928999999999995,0.15000000000000002,0.17904,0.13333333333333341,0.0,nan,nan
5,3,1.0,Discrete metric,5000,0.20634920634920637,0.20634920634920637,0.24808095238095237,0.23809523809523808,0.18133333333333335,0.17857142857142855,0.20622380952380953,0.19047619047619047,0.0,0.2508223904489182,0.2186924997072232
5,3,1.0,Manhattan distance,5000,0.21557683513303977,0.20452844273190895,0.23817512395042603,0.23587621719000085,0.17628187931425487,0.18577429623625663,0.2161413642877008,0.23457372982849023,0.0,nan,nan
5,3,1.0,Quadratic distance,5000,0.22838666666666668,0.20000000000000004,0.2454933333333334,0.2333333333333334,0.18039999999999995,0.1999999999999999,0.22908,0.2333333333333334,0.0,nan,nan
5,3,3.0,Discrete metric,5000,0.20634920634920637,0.20634920634920637,0.23209047619047624,0.23809523809523808,0.1738452380952381,0.16666666666666674,0.2062809523809524,0.21428571428571425,0.0,0.16582751712290797,0.15236284361964753
5,3,3.0,Manhattan distance,5000,0.23605905881563286,0.24397150811161397,0.24799883781492962,0.2489769831468569,0.18598178003445165,0.18881333150615598,0.23605144566129638,0.2364846107822739,0.0,nan,nan
5,3,3.0,Quadratic distance,5000,0.25870666666666664,0.26666666666666666,0.2626866666666667,0.2666666666666667,0.19606999999999994,0.19999999999999996,0.25876666666666664,0.2666666666666667,0.0,nan,nan
5,3,10.0,Discrete metric,5000,0.20634920634920637,0.20634920634920637,0.2199000000000001,0.2142857142857143,0.16868333333333335,0.16666666666666669,0.20673809523809522,0.21428571428571425,0.0,0.1435989443471186,0.14317559748472392
5,3,10.0,Manhattan distance,5000,0.24351135965247436,0.24397150811161397,0.24953676843129832,0.2489769831468569,0.1885566849802757,0.18881333150615598,0.2436418236052259,0.24895765484372434,0.0,nan,nan
5,3,10.0,Quadratic distance,5000,0.26648,0.26666666666666666,0.26657333333333333,0.2666666666666667,0.19991999999999993,0.19999999999999996,0.26649333333333336,0.2666666666666667,0.0,nan,nan
5,5,0.1,Discrete metric,5000,0.22222222222222227,0.22222222222222224,0.40671111111111113,0.4444444444444444,0.2394291666666667,0.22916666666666674,0.22278888888888887,0.16666666666666669,0.0,0.5592181390877714,0.465948578116142
5,5,0.1,Manhattan distance,5000,0.17757553347243094,0.19718657400239176,0.26491108224869936,0.29226685634613114,0.1746365377447622,0.1692984769138834,0.17775214968227457,0.14410736536055746,0.0,nan,nan
5,5,0.1,Quadratic distance,5000,0.1574536,0.184,0.21888000000000002,0.26000000000000006,0.15405499999999997,0.14999999999999997,0.15759866666666666,0.13333333333333333,0.0,nan,nan
5,5,0.3,Discrete metric,5000,0.22222222222222227,0.22222222222222224,0.37157777777777784,0.38888888888888895,0.23224732142857146,0.21875000000000003,0.22391111111111114,0.16666666666666669,0.0,0.27273673566886963,0.21768297970662748
5,5,0.3,Manhattan distance,5000,0.20401377554309896,0.20144461923559298,0.28731172030089136,0.2933930943992533,0.20075422052968175,0.20394398034658945,0.20496112353070395,0.1545328280174002,0.0,nan,nan
5,5,0.3,Quadratic distance,5000,0.2018408,0.184,0.2646853333333334,0.26000000000000006,0.19704333333333332,0.19999999999999996,0.20243000000000003,0.15000000000000005,0.0,nan,nan
5,5,1.0,Discrete metric,5000,0.22222222222222227,0.22222222222222224,0.32434444444444444,0.3333333333333333,0.22370476190476188,0.2142857142857144,0.2231666666666667,0.2222222222222222,0.0,0.09982744506708395,0.0833579497544595
5,5,1.0,Manhattan distance,5000,0.233845697398855,0.23200780207113905,0.3003278857750939,0.3054388425247535,0.2295748615488572,0.23033500437772392,0.23431264444484867,0.26564205299436405,0.0,nan,nan
5,5,1.0,Quadratic distance,5000,0.2505848,0.23600000000000004,0.29715866666666674,0.2933333333333334,0.24311000000000005,0.25,0.25126800000000005,0.29333333333333333,0.0,nan,nan
5,5,3.0,Discrete metric,5000,0.22222222222222227,0.22222222222222224,0.2871888888888889,0.2777777777777778,0.21762857142857148,0.21428571428571436,0.2225333333333333,0.2222222222222222,0.0,0.04919087344722843,0.04584799631342007
5,5,3.0,Manhattan distance,5000,0.2561787670526072,0.257095726950953,0.29980967693555377,0.30543884252475373,0.25086529143167907,0.2540195321821809,0.2568563087123258,0.2730044694825513,0.0,nan,nan
5,5,3.0,Quadratic distance,5000,0.28607840000000007,0.28,0.3109120000000001,0.31000000000000005,0.27374333333333345,0.2750000000000001,0.286084,0.31,0.0,nan,nan
5,5,10.0,Discrete metric,5000,0.22222222222222227,0.22222222222222224,0.2526,0.2777777777777778,0.21474107142857146,0.21428571428571436,0.22197777777777783,0.2222222222222222,0.0,0.03648266607850554,0.03563034183093279
5,5,10.0,Manhattan distance,5000,0.27436145492195174,0.2803145200747448,0.28658684399135625,0.2803145200747448,0.2687850383573996,0.27481117603433103,0.2736641971768852,0.2802690101402908,0.0,nan,nan
5,5,10.0,Quadratic distance,5000,0.3141248000000001,0.32000000000000006,0.31852666666666674,0.32000000000000006,0.29545333333333357,0.30000000000000027,0.3134906666666666,0.31999999999999995,0.0,nan,nan
5,10,0.1,Discrete metric,5000,0.21428571428571422,0.21428571428571427,0.5308571428571428,0.5476190476190477,0.32169985569985576,0.3083333333333334,0.21342857142857147,0.16666666666666666,0.0,0.31401189825726716,0.2471320347905781
